City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,bom jesus do itabapoana,-21.1339,-41.6797,68.86,82,93,6.26,BR,1667857937
345,axim,4.8699,-2.2405,78.57,86,100,5.82,GH,1667857938
346,deep river,46.1001,-77.4995,47.95,59,38,11.74,CA,1667857938
347,bonavista,48.6499,-53.1147,51.78,96,100,14.58,CA,1667857938
348,coahuayana,18.7333,-103.6833,84.94,67,10,5.55,MX,1667857939
349,nicoya,10.1483,-85.452,77.59,90,100,3.42,CR,1667857939
350,sibolga,1.7427,98.7792,75.45,84,100,3.47,ID,1667857939
351,marion,39.7684,-86.1555,63.03,25,40,10.36,US,1667857798
352,gejiu,23.306,103.1635,44.62,97,33,2.13,CN,1667857940
353,hobyo,5.3505,48.5268,80.02,74,11,8.32,SO,1667857940
354,mporokoso,-9.3727,30.125,62.83,85,100,3.04,ZM,1667857941
355,coquimbo,-29.9533,-71.3436,58.73,82,100,9.22,CL,1667857941
356,katobu,-4.9408,122.5276,75.74,91,97,1.16,ID,1667857829
357,alofi,-19.0595,-169.9187,80.49,61,75,16.02,NU,1667857942
358,astana,51.1801,71.446,24.75,93,100,4.47,KZ,1667857832
359,nizhneudinsk,54.9076,99.0276,22.69,84,83,3.51,RU,1667857942
360,borinskoye,52.4569,39.3713,36.09,82,100,5.7,RU,1667857942
361,moerai,-22.4333,-151.3333,72.88,79,10,14.0,PF,1667857943
362,sarny,51.338,26.6019,46.71,92,100,7.7,UA,1667857889
363,kununurra,-15.7667,128.7333,76.98,88,10,4.61,AU,1667857943
